BJD,RV,e_RV,FWHM,e_FWHM,RVTM,e_RVTM,Subset
2458720.496631,-21361.82084, 0.29405,3844.35851, 0.58811,-21357.69014, 0.13698,ESP19
2458726.484859,-21362.21803, 0.38107,3844.28813, 0.76214,-21357.86360, 0.17842,ESP19
2458731.484508,-21360.56212, 0.21477,3846.14194, 0.42954,-21357.39260, 0.10070,ESP19
2458737.483506,-21362.33390, 0.25467,3845.85518, 0.50935,-21359.42882, 0.12181,ESP19
2458741.472392,-21363.08393, 0.25189,3844.52312, 0.50379,-21359.47759, 0.11853,ESP19
2458752.476351,-21361.36212, 0.47249,3835.78789, 0.94497,-21358.51898, 0.22728,ESP19
2458753.474025,-21361.23922, 0.22679,3836.24792, 0.45358,-21357.61271, 0.10663,ESP19
2459236.861543,-21361.15612, 0.22321,3847.32231, 0.44643,-21356.81846, 0.11386,ESP21
2459237.811069,-21362.19028, 0.40753,3846.66323, 0.81506,-21358.08860, 0.20050,ESP21
2459237.837570,-21362.29094, 0.26128,3847.81984, 0.52257,-21358.00125, 0.13339,ESP21
2459238.800608,-21362.02019, 0.23568,3846.78155, 0.47137,-21357.49846, 0.12026,ESP21
2459239.879239,-21362.85735, 0.36462,3846.14132, 0.72924,-21358.70146, 0.18443,ESP21
2459240.770916,-21364.85785, 0.39715,3845.96657, 0.79429,-21360.13652, 0.20011,ESP21
2459241.817292,-21365.03747, 0.25934,3844.66084, 0.51869,-21361.12776, 0.13199,ESP21
2459242.815122,-21366.14127, 0.25797,3843.59798, 0.51595,-21361.78290, 0.12832,ESP21
2459250.845939,-21363.52298, 0.24838,3836.17816, 0.49675,-21358.56753, 0.12613,ESP21
2459252.748102,-21364.69435, 0.28508,3835.00805, 0.57017,-21359.46262, 0.14570,ESP21
2459253.764037,-21363.63631, 0.36363,3834.96759, 0.72725,-21358.49984, 0.18867,ESP21
2459254.728499,-21363.08661, 0.26364,3834.76422, 0.52727,-21358.32542, 0.13340,ESP21
2459255.726668,-21362.56506, 0.30191,3835.56925, 0.60382,-21357.58279, 0.15644,ESP21
2459257.810549,-21362.11018, 0.41105,3835.22816, 0.82210,-21357.22825, 0.21102,ESP21
2459262.778650,-21361.60055, 0.24725,3842.74557, 0.49450,-21356.73033, 0.12667,ESP21
2459263.719619,-21362.49041, 0.36516,3843.12117, 0.73032,-21357.19466, 0.18346,ESP21
2459264.860908,-21362.18636, 0.29087,3845.79303, 0.58174,-21357.22631, 0.14785,ESP21
2459265.723539,-21361.20194, 0.24216,3848.14195, 0.48431,-21357.16706, 0.12265,ESP21
2459268.835929,-21360.66848, 0.21351,3852.04543, 0.42701,-21355.93459, 0.10927,ESP21
2459270.691736,-21358.77050, 0.30267,3854.79318, 0.60533,-21354.70387, 0.15404,ESP21
2459271.725262,-21361.32770, 0.41178,3856.22734, 0.82356,-21355.93479, 0.21002,ESP21
2459284.658251,-21363.36026, 0.30408,3858.10303, 0.60816,-21359.58365, 0.15212,ESP21
2459285.627306,-21363.27728, 0.32079,3855.39937, 0.64157,-21360.34950, 0.15644,ESP21
2459285.759878,-21364.74969, 0.23744,3856.08762, 0.47488,-21360.55493, 0.12185,ESP21
2459286.652178,-21365.11093, 0.26038,3856.76245, 0.52077,-21361.23211, 0.13233,ESP21
2459286.791180,-21365.22897, 0.22272,3858.10555, 0.44544,-21361.23643, 0.11455,ESP21
2459287.834605,-21365.88074, 0.29758,3856.08084, 0.59516,-21361.94526, 0.15296,ESP21
2459291.689082,-21362.03997, 0.24969,3851.29459, 0.49938,-21358.38079, 0.12809,ESP21
2459292.600287,-21362.30404, 0.31944,3849.21198, 0.63889,-21358.23387, 0.16228,ESP21
2459294.770833,-21362.41239, 0.33259,3847.85607, 0.66518,-21358.39744, 0.17172,ESP21
2459295.698854,-21362.98400, 0.24966,3846.22969, 0.49931,-21358.84325, 0.13020,ESP21
2459299.719258,-21364.69546, 0.23411,3844.91002, 0.46821,-21359.66138, 0.12092,ESP21
2459299.844093,-21364.19743, 0.20659,3844.47716, 0.41318,-21359.52931, 0.10819,ESP21
2459309.665077,-21362.99617, 0.28105,3843.02231, 0.56210,-21358.10752, 0.14400,ESP21
2459310.578920,-21363.24530, 0.35649,3845.14330, 0.71297,-21358.31122, 0.17860,ESP21
2459310.803161,-21363.11003, 0.24597,3846.01901, 0.49195,-21358.04546, 0.13069,ESP21
2459313.694417,-21361.42856, 0.24477,3846.01609, 0.48954,-21356.77068, 0.12609,ESP21
2459313.847186,-21361.87498, 0.21676,3846.82187, 0.43351,-21356.84665, 0.11081,ESP21
2459317.594267,-21361.22745, 0.24856,3845.37127, 0.49712,-21357.42142, 0.12534,ESP21
2459318.588300,-21362.61725, 0.30882,3846.58013, 0.61764,-21358.10299, 0.16170,ESP21
2459318.794802,-21362.82496, 0.21103,3846.39794, 0.42205,-21358.61255, 0.10737,ESP21
2459319.799059,-21363.84916, 0.29899,3845.76203, 0.59798,-21359.56272, 0.15587,ESP21
2459322.556100,-21365.04078, 0.38402,3844.69237, 0.76804,-21360.26165, 0.19685,ESP21
2459323.818680,-21364.45365, 0.41447,3841.97441, 0.82893,-21359.62901, 0.21756,ESP21
2459334.767991,-21363.39598, 0.27889,3831.86383, 0.55778,-21358.95670, 0.14313,ESP21
2459338.544867,-21361.43853, 0.36261,3830.76958, 0.72522,-21356.94382, 0.18789,ESP21
2459338.851594,-21362.60655, 0.31342,3829.74754, 0.62684,-21357.55698, 0.16066,ESP21
2459340.509095,-21361.77781, 0.26842,3831.63339, 0.53684,-21357.32069, 0.13666,ESP21
2459340.855769,-21361.50227, 0.37503,3828.88492, 0.75007,-21357.54698, 0.19671,ESP21
